,Demanda,Produccion
2020-07-01,554038,391242
2020-07-02,558768,392610
2020-07-03,554960,390864
2020-07-04,555515,389262
2020-07-05,568398,397000
2020-07-06,569645,392812
2020-07-07,570484,392471
2020-07-08,568322,392297
2020-07-09,553736,401208
2020-07-10,557280,399939
2020-07-11,557546,385745
2020-07-12,572252,378176
2020-07-13,578992,387538
2020-07-14,579399,400581
2020-07-15,577042,408247
2020-07-16,594703,412741
2020-07-17,611372,403515
2020-07-18,608125,401785
2020-07-19,584693,399558
2020-07-20,590980,400579
2020-07-21,610979,404007
2020-07-22,610998,398459
2020-07-23,602074,392637
2020-07-24,619251,392562
2020-07-25,626466,392481
2020-07-26,624188,385837
2020-07-27,627421,391480
2020-07-28,611808,384032
2020-07-29,588124,394397
2020-07-30,607803,392696
2020-07-31,604139,405956
2020-08-01,595856,409853
2020-08-02,584544,417625
2020-08-03,588672,419550
2020-08-04,599070,421892
2020-08-05,595635,419336
2020-08-06,595457,423944
2020-08-07,577238,422705
2020-08-08,569093,425164
2020-08-09,574165,420795
2020-08-10,586807,420594
2020-08-11,588169,421879
2020-08-12,581541,417951
2020-08-13,582547,415407
2020-08-14,575158,402786
2020-08-15,570737,417723
2020-08-16,563821,413549
2020-08-17,559547,414810
2020-08-18,569452,415746
2020-08-19,560164,418773
2020-08-20,556065,414914
2020-08-21,554107,423409
2020-08-22,561115,417684
2020-08-23,563636,419924
2020-08-24,551064,420956
2020-08-25,553150,423877
2020-08-26,561242,417934
2020-08-27,574671,421258
2020-08-28,575590,418479
2020-08-29,586896,421898
2020-08-30,581745,421431
2020-08-31,590366,408144
2020-09-01,577658,416586
2020-09-02,576123,412210
2020-09-03,580236,414076
2020-09-04,587111,418801
2020-09-05,589604,403829
2020-09-06,585332,408534
2020-09-07,578577,411740
2020-09-08,582420,404379
2020-09-09,586459,411769
2020-09-10,581865,411171
2020-09-11,580958,412386
2020-09-12,564584,405768
2020-09-13,555605,408184
2020-09-14,548353,409778
2020-09-15,554594,413981
2020-09-16,543594,405919
2020-09-17,539427,403748
2020-09-18,546897,418114
2020-09-19,553643,403972
2020-09-20,542816,400625
2020-09-21,523316,399910
2020-09-22,522852,404011
2020-09-23,527943,403034
2020-09-24,524892,403635
2020-09-25,519858,402510
2020-09-26,511769,397128
2020-09-27,504838,396642
2020-09-28,472946,389567
2020-09-29,471248,382418
2020-09-30,468267,386475
2020-10-01,452600,353309
2020-10-02,444989,383013
2020-10-03,431841,378241
2020-10-04,413921,376716
2020-10-05,376070,372931
2020-10-06,361804,367271
2020-10-07,370312,348732
2020-10-08,348560,328933
2020-10-09,342874,318707
2020-10-10,335476,311470
2020-10-11,334548,306106
2020-10-12,339430,302828
2020-10-13,336094,298870
2020-10-14,336622,306027
2020-10-15,325464,302435
2020-10-16,320492,296295
2020-10-17,325456,301561
2020-10-18,325276,298163
2020-10-19,330300,296685
2020-10-20,334591,292856
2020-10-21,308131,293757
2020-10-22,296129,287278
2020-10-23,291514,279861
2020-10-24,290218,274651
2020-10-25,280970,264311
2020-10-26,275252,254893
2020-10-27,269479,264854
2020-10-28,275195,261865
2020-10-29,290324,255892
2020-10-30,278185,252792
2020-10-31,278214,251792
2020-11-01,281784,252250
2020-11-02,268509,254082
2020-11-03,273331,252930
2020-11-04,274521,249599
2020-11-05,277439,251277
2020-11-06,275336,255438
2020-11-07,271038,257439
2020-11-08,266719,257368
2020-11-09,252855,244781
2020-11-10,257896,241287
2020-11-11,253807,239203
2020-11-12,255967,226187
2020-11-13,264413,232113
2020-11-14,266024,220565
2020-11-15,263974,227157
2020-11-16,267410,224245
2020-11-17,294428,235767
2020-11-18,290726,240014
