Produccion,Hours,Demanda
9632,3,11048
9559,4,11314
10511,5,11903
11276,6,13147
11715,7,14215
11632,8,15551
11655,9,15598
11840,10,15898
11788,11,16091
11851,12,16475
11962,13,16265
11882,14,16246
11753,15,16246
11814,16,15850
11982,17,17449
12343,18,17830
12471,19,18296
12439,20,17618
12247,21,16949
12067,22,16480
11707,23,15928
11535,24,15294
10565,1,12404
9859,2,11621
9458,3,11084
9443,4,11376
10222,5,11942
11283,6,13179
12241,7,14226
12261,8,15614
11868,9,15677
11940,10,15979
12280,11,16172
12421,12,16558
12344,13,16348
12421,14,16328
12241,15,16328
12342,16,15940
12349,17,17537
12698,18,17926
12334,19,18390
12347,20,17712
12186,21,17034
11715,22,16561
11482,23,16009
11309,24,15371
10117,1,12150
9475,2,11352
9048,3,10831
9038,4,11130
9780,5,11697
10780,6,12960
11559,7,13908
11786,8,15314
12199,9,15422
12239,10,15682
12175,11,15847
12120,12,16225
12101,13,16017
12033,14,15998
11973,15,15998
11925,16,15609
12042,17,17183
12280,18,17525
12242,19,18018
12154,20,17353
11809,21,16689
11585,22,16229
11128,23,15687
10569,24,15059
9811,1,12073
9209,2,11222
8896,3,10683
8829,4,10999
9585,5,11566
10534,6,12815
11064,7,13700
11256,8,15120
11352,9,15202
11341,10,15494
11431,11,15682
11537,12,16057
11352,13,15850
11362,14,15831
11257,15,15831
11386,16,15447
11501,17,17006
11640,18,17344
11659,19,17829
11613,20,17177
11667,21,16517
11441,22,16061
11274,23,15523
10954,24,14904
9854,1,11778
9163,2,10965
8829,3,10490
8788,4,10724
9611,5,11271
11102,6,12609
11486,7,13393
11533,8,14724
11725,9,14813
11683,10,15085
11430,11,15268
11706,12,15633
11734,13,15432
11646,14,15414
11551,15,15414
11719,16,15042
11994,17,16561
12126,18,16890
12299,19,17366
12207,20,16726
12281,21,16083
12209,22,15644
11640,23,15116
11024,24,14537
9588,1,11503
8829,2,10656
8607,3,10159
8624,4,10459
9553,5,10996
11017,6,12287
11710,7,13305
11755,8,14476
11929,9,14526
11899,10,14715
11932,11,14922
11975,12,15249
12074,13,15058
11972,14,15038
12103,15,15038
11995,16,14672
12390,17,16152
12517,18,16506
12533,19,16942
12327,20,16313
12256,21,15687
12095,22,15256
11542,23,14745
10554,24,14155
9381,1,11300
8729,2,10539
8400,3,10069
8484,4,10334
9571,5,10893
11260,6,12289
12151,7,13259
11888,8,14265
11650,9,14261
11616,10,14496
11953,11,14696
12102,12,15002
11994,13,14806
11670,14,14789
11472,15,14789
11606,16,14430
12079,17,15885
12617,18,16222
12702,19,16660
12582,20,16044
12272,21,15429
11904,22,15004
11180,23,14501
10633,24,13975
9051,1,11441
8479,2,10607
8181,3,10130
8211,4,10398
8961,5,10866
10575,6,12040
11816,7,13113
11532,8,14220
11605,9,14312
11206,10,14581
11065,11,14741
11034,12,15087
10960,13,14890
10724,14,14873
10631,15,14873
10673,16,14511
10850,17,15976
11925,18,16377
11867,19,16764
11858,20,16135
11806,21,15517
11647,22,15089
11133,23,14583
10447,24,14014
9064,1,11242
8385,2,10453
8085,3,9992
8131,4,10271
9043,5,10763
10532,6,11991
11888,7,13144
11762,8,14131
11774,9,14168
11802,10,14391
11852,11,14526
11849,12,14875
11740,13,14682
11489,14,14666
11343,15,14666
11354,16,14309
11620,17,15755
12138,18,16068
12205,19,16520
12168,20,15913
11585,21,15301
11321,22,14882
10687,23,14381
9806,24,13869
9155,1,11461
8400,2,10627
8070,3,10104
8048,4,10405
8692,5,10949
9605,6,12103
10601,7,13022
11085,8,14314
11332,9,14412
11496,10,14693
11484,11,14838
11481,12,15185
11496,13,14988
11571,14,14971
11810,15,14999
11856,16,14656
11916,17,16079
12111,18,16457
12130,19,16846
12137,20,16251
12138,21,15647
11991,22,15177
11529,23,14677
10874,24,14099
9986,1,11748
9468,2,11015
8970,3,10538
8598,4,10824
9250,5,11018
9813,6,12077
10680,7,12738
11030,8,14029
10927,9,14384
10973,10,14605
11282,11,14884
11412,12,15004
11287,13,14808
11294,14,14781
11865,15,14809
12093,16,14465
12283,17,15971
12550,18,16325
12373,19,16991
12288,20,16168
12312,21,15485
12162,22,14952
11907,23,14781
11587,24,14135
10151,1,11636
9442,2,10878
9170,3,10416
9156,4,10687
10070,5,11013
11130,6,12100
11966,7,12956
12015,8,13918
11941,9,14219
11937,10,14254
11822,11,14552
11709,12,14640
11715,13,14482
11675,14,14471
11562,15,14454
11641,16,14142
11814,17,15616
12023,18,15949
11952,19,16612
12021,20,15784
12134,21,15120
11946,22,14620
11612,23,14470
11045,24,13851
9969,1,11605
9365,2,10818
9039,3,10358
9152,4,10640
10022,5,10985
11349,6,12218
11969,7,13096
11933,8,13996
11867,9,14136
11876,10,14283
11907,11,14586
11962,12,14702
11923,13,14521
11862,14,14501
11793,15,14497
11840,16,14166
11904,17,15665
12064,18,15998
12055,19,16664
12031,20,15832
11948,21,15163
11700,22,14665
11151,23,14497
10705,24,13872
9380,1,11374
8797,2,10627
8560,3,10170
8588,4,10441
9466,5,10796
10549,6,11910
11573,7,12671
11523,8,13513
11434,9,13774
11264,10,13923
11274,11,14214
11317,12,14377
11379,13,14214
11283,14,14214
11359,15,14219
11571,16,13887
11736,17,15361
11874,18,15691
12048,19,16343
12109,20,15504
12064,21,14857
11697,22,14377
10816,23,14214
10215,24,13559
8841,1,11366
8281,2,10593
8017,3,10142
8098,4,10423
8853,5,10754
10231,6,11834
11575,7,12541
11530,8,13574
11359,9,13826
11197,10,13978
11247,11,14307
11529,12,14470
11631,13,14307
11453,14,14307
11537,15,14307
11598,16,13978
11878,17,15459
12240,18,15816
12271,19,16444
12246,20,15619
12154,21,14963
12022,22,14491
11173,23,14307
10303,24,13649
9125,1,11437
8508,2,10620
8288,3,10135
8259,4,10395
9158,5,10770
10567,6,12041
11171,7,12764
11291,8,13717
11657,9,14003
11595,10,14235
11642,11,14387
11709,12,14566
11795,13,14445
11505,14,14440
11317,15,14387
11271,16,14061
11485,17,15547
12180,18,15877
12577,19,16538
12394,20,15714
12024,21,15051
11010,22,14554
10037,23,14387
9812,24,13768
8565,1,11405
8049,2,10608
7838,3,10123
7893,4,10425
8563,5,10748
9453,6,11856
10623,7,12357
11467,8,13546
11920,9,14009
11938,10,14164
11803,11,14503
12142,12,14637
12144,13,14392
12146,14,14418
12059,15,14404
12081,16,14092
12274,17,15537
12370,18,15845
12454,19,16508
12241,20,15681
12133,21,15021
12271,22,14527
11644,23,14359
11256,24,13712
9705,1,11341
9153,2,10568
8798,3,10072
9003,4,10363
9700,5,10746
10604,6,11825
11454,7,12496
11724,8,13524
11835,9,13819
11914,10,14000
11868,11,14279
11957,12,14455
11788,13,14246
11710,14,14227
11769,15,14273
11732,16,13930
11816,17,15367
11955,18,15715
12057,19,16347
12025,20,15530
12011,21,14902
11916,22,14409
11281,23,14279
10662,24,13681
9667,1,11312
9031,2,10516
8726,3,10081
8788,4,10329
9774,5,10699
11071,6,11883
11765,7,12744
11738,8,13516
11567,9,13734
11401,10,13884
11306,11,14211
11309,12,14310
11223,13,14150
11232,14,14184
11159,15,14183
11319,16,13829
11640,17,15288
12098,18,15613
12041,19,16265
11824,20,15450
11838,21,14800
11717,22,14327
11323,23,14150
10606,24,13576
9053,1,11097
8413,2,10345
8155,3,9872
8297,4,10152
9110,5,10469
10518,6,11620
11477,7,12550
11484,8,13277
11361,9,13489
10830,10,13610
10858,11,13902
10736,12,14066
10813,13,13902
11065,14,13902
11173,15,13902
11149,16,13583
11295,17,15021
11584,18,15349
11753,19,15982
11473,20,15181
11474,21,14543
11176,22,14066
10676,23,13902
10198,24,13262
8823,1,10751
8291,2,9983
8086,3,9517
8223,4,9789
9070,5,10174
10474,6,11296
11269,7,12160
11314,8,13115
11160,9,13244
11061,10,13367
11175,11,13619
11316,12,13749
11273,13,13591
11057,14,13591
11162,15,13591
11385,16,13277
11498,17,14686
11821,18,15017
11876,19,15622
11794,20,14860
11410,21,14216
11027,22,13749
10244,23,13591
9311,24,12965
8534,1,10538
7920,2,9802
7799,3,9367
7852,4,9609
8588,5,9944
10028,6,11108
11319,7,12022
11203,8,12842
10785,9,13072
10767,10,13196
10744,11,13491
10845,12,13663
11018,13,13500
10931,14,13486
10958,15,13486
10990,16,13175
11091,17,14571
11803,18,14890
11909,19,15500
11901,20,14725
11580,21,14106
11001,22,13641
9899,23,13486
8896,24,12865
7563,1,10763
6705,2,9973
6487,3,9529
6553,4,9844
6878,5,10144
